token	pos	etymology	family	freq	freq_family	freq_bins_12	freq_bins_4	family_size	family_membership	family_with_prefix	cognate	family_has_verb	family_with_altradical	tokens_per_family	verbs_per_family	adjectives_per_family	nomadjective_per_family	nouns_per_family	adverbsconjs_per_family	length	length_family_sum	length_family_mean	sentiment	register	domains_124	domains_47
imputation	S	Latin	4964	59	274	8	3	2	Fm	0	1	1	0	5	1	3	0	1	0	10			0			
imputable	A	Latin	4964	46	274	9	3	2	Fm	0	1	1	0	5	1	3	0	1	0	9			0			
inimputable	A	Latin	4964	1	274	12	3	2	Fm	0	1	1	0	5	1	3	0	1	0	11			0			
inanité	S	Latin	4965	74	128	8	3	1	TFm	0	1	0	0	3	0	1	0	2	0	7	21	7	0		sociologie	FOURRETOUT
inanition	S	Latin	4965	45	128	9	3	1	Fm	0	1	0	0	3	0	1	0	2	0	9			0			
inane	A	Latin	4965	9	128	10	3	1	Fm	0	1	0	0	3	0	1	0	2	0	5			0			
inaugurer	V	Latin	4966	183	567	7	3	3	TFm	1	1	1	0	9	2	4	0	3	0	9	76	8.44	0		temps	FOURRETOUT
inauguré	A	Latin	4966	71	567	8	3	3	Fm	1	1	1	0	9	2	4	0	3	0	8			0			
inaugural	A	Latin	4966	16	567	10	3	3	Fm	1	1	1	0	9	2	4	0	3	0	9			0			
inaugurateur	S	Latin	4966	4	567	11	3	3	Fm	1	1	1	0	9	2	4	0	3	0	12			0			
inauguration	S	Latin	4966	84	567	8	3	3	Fm	1	1	1	0	9	2	4	0	3	0	12			0			
augure	S	Latin	4966	148	567	7	3	3	Fm	1	1	1	0	9	2	4	0	3	0	6			0			
augural	A	Latin	4966	19	567	10	3	3	Fm	1	1	1	0	9	2	4	0	3	0	7			0			
auguré	A	Latin	4966	3	567	11	3	3	Fm	1	1	1	0	9	2	4	0	3	0	6			0			
augurer	V	Latin	4966	39	567	9	3	3	Fm	1	1	1	0	9	2	4	0	3	0	7			0			
inca	A	Patro	4967	13	13	10	4	0	TSfm	0	1	0	0	1	0	1	0	0	0	4	4	4	0		ethnologie	Patro/Topo
incapiter	V	Inconnu	4968	1	1	12	4	1	TFm	0	0	1	0	1	1	0	0	0	0	9	9	9	0			.
incarcéré	A	Latin	4969	23	52	9	3	2	TFm	1	1	1	0	4	1	2	0	1	0	9	43	10.75	-1		justice, délit	Conflit
incarcérer	V	Latin	4969	14	52	10	3	2	Fm	1	1	1	0	4	1	2	0	1	0	10			0			
incarcération	S	Latin	4969	14	52	10	3	2	Fm	1	1	1	0	4	1	2	0	1	0	13			0			
réincarcéré	A	Latin	4969	1	52	12	3	2	Fm	1	1	1	0	4	1	2	0	1	0	11			0			
incarnat	A	Latin	4970	48	57	9	3	1	TFm	0	1	0	0	2	0	2	0	0	0	8	18	9	0		couleurs	Voir
incarnadin	A	Latin	4970	9	57	10	3	1	Fm	0	1	0	0	2	0	2	0	0	0	10			0			
incartade	S	Latin	4971	44	44	9	3	0	TSfm	0	1	0	0	1	0	0	0	1	0	9	9	9	0		sociologie	Conflit
incendie	S	Latin	4972	944	1408	5	2	2	TFm	0	1	1	1	6	1	1	2	4	0	8	61	10.17	0		technique	Feu
incendié	B	Latin	4972	151	1408	7	2	2	Fm	0	1	1	1	6	1	1	2	4	0	8			0			
incendier	V	Latin	4972	98	1408	8	2	2	Fm	0	1	1	1	6	1	1	2	4	0	9			0			
incendiaire	B	Latin	4972	88	1408	8	2	2	Fm	0	1	1	1	6	1	1	2	4	0	11			0			
incandescent	A	Latin	4972	91	1408	8	2	2	Fm	0	1	1	1	6	1	1	2	4	0	12			0			
incandescence	S	Latin	4972	36	1408	9	2	2	Fm	0	1	1	1	6	1	1	2	4	0	13			0			
inceste	S	Latin	4973	116	160	7	3	1	TFm	0	1	0	0	3	0	0	2	3	0	7	28	9.33	-1		sociologie	FOURRETOUT
incestueux	B	Latin	4973	43	160	9	3	1	Fm	0	1	0	0	3	0	0	2	3	0	10			0			
incestueuse	B	Latin	4973	1	160	12	3	1	Fm	0	1	0	0	3	0	0	2	3	0	11			0			
inchoatif	A	Grec	4974	8	10	10	4	1	TFm	0	1	0	0	3	0	1	0	2	0	9	31	10.33	0		linguistique	Vox
inchoation	S	Grec	4974	1	10	12	4	1	Fm	0	1	0	0	3	0	1	0	2	0	10			0			
inchoativité	S	Grec	4974	1	10	12	4	1	Fm	0	1	0	0	3	0	1	0	2	0	12			0			
incident	A	Latin	4975	895	1843	5	2	3	TFm	1	1	1	0	10	2	5	0	2	1	8	95	9.5	0		sociologie	Conflit
incidente	A	Latin	4975	37	1843	9	2	3	Fm	1	1	1	0	10	2	5	0	2	1	9			0			
incidence	S	Latin	4975	67	1843	8	2	3	Fm	1	1	1	0	10	2	5	0	2	1	9			0			
incidemment	D	Latin	4975	60	1843	8	2	3	Fm	1	1	1	0	10	2	5	0	2	1	11			0			
incidental	A	Latin	4975	2	1843	11	2	3	Fm	1	1	1	0	10	2	5	0	2	1	10			0			
incidentel	A	Latin	4975	1	1843	12	2	3	Fm	1	1	1	0	10	2	5	0	2	1	10			0			
incidenter	V	Latin	4975	1	1843	12	2	3	Fm	1	1	1	0	10	2	5	0	2	1	10			0			
coïncider	V	Latin	4975	443	1843	6	2	3	Fm	1	1	1	0	10	2	5	0	2	1	9			0			
coïncidé	A	Latin	4975	26	1843	9	2	3	Fm	1	1	1	0	10	2	5	0	2	1	8			0			
coïncidence	S	Latin	4975	311	1843	6	2	3	Fm	1	1	1	0	10	2	5	0	2	1	11			0			
incipit	S	Latin	4976	3	3	11	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	7	7	7	0		littérature	Vox
incisif	A	Latin	4977	79	133	8	3	2	TFm	1	1	1	0	8	2	4	0	2	0	7	55	6.88	0		parole, parler	FOURRETOUT
incision	S	Latin	4977	30	133	9	3	2	Fm	1	1	1	0	8	2	4	0	2	0	8			0			
inciser	V	Latin	4977	11	133	10	3	2	Fm	1	1	1	0	8	2	4	0	2	0	7			0			
incisé	A	Latin	4977	6	133	10	3	2	Fm	1	1	1	0	8	2	4	0	2	0	6			0			
incise	A	Latin	4977	2	133	11	3	2	Fm	1	1	1	0	8	2	4	0	2	0	6			0			
excisé	A	Latin	4977	2	133	11	3	2	Fm	1	1	1	0	8	2	4	0	2	0	6			0			
exciser	V	Latin	4977	1	133	12	3	2	Fm	1	1	1	0	8	2	4	0	2	0	7			0			
